Day,Campaign name,Ad name,Amount Spent,Impressions,Reach,Frequency,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate)
2026-06-09,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,46.72,3277,0,0,14.26,24,1.95,0.73
2026-06-09,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03,9.16,459,0,0,19.96,5,1.83,1.09
2026-06-09,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03 — Cópia,3.78,262,0,0,14.43,1,3.78,0.38
2026-06-09,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 01,37.33,1453,0,0,25.69,18,2.07,1.24
2026-06-09,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,18.7,813,0,0,23.0,11,1.7,1.35
2026-06-09,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,45.08,3045,0,0,14.8,38,1.19,1.25
2026-06-09,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 03,0.01,1,0,0,10.0,0,0,0.0
2026-06-09,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,12.51,564,0,0,22.18,9,1.39,1.6
2026-06-09,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 05,7.86,375,0,0,20.96,6,1.31,1.6
2026-06-09,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 05,0.14,7,0,0,20.0,0,0,0.0
2026-06-10,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Flexibilidade Cognitiva,34.38,6726,0,0,5.11,576,0.06,8.56
2026-06-10,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 01,75.75,5636,0,0,13.44,32,2.37,0.57
2026-06-10,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 02,0.27,12,0,0,22.5,0,0,0.0
2026-06-10,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,35.21,1422,0,0,24.76,18,1.96,1.27
2026-06-10,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,75.58,5529,0,0,13.67,47,1.61,0.85
2026-06-10,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,38.96,2717,0,0,14.34,21,1.86,0.77
2026-06-10,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,29.88,2094,0,0,14.27,16,1.87,0.76
2026-06-10,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 02,2.75,115,0,0,23.91,1,2.75,0.87
2026-06-10,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03,0.08,7,0,0,11.43,0,0,0.0
2026-06-10,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03 — Cópia,4.2,205,0,0,20.49,1,4.2,0.49
2026-06-10,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 01,41.49,1769,0,0,23.45,15,2.77,0.85
2026-06-10,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,2.03,110,0,0,18.45,2,1.01,1.82
2026-06-10,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,43.77,2729,0,0,16.04,49,0.89,1.8
2026-06-10,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,0.0,1,0,0,0.0,0,0,0.0
2026-06-10,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,19.58,898,0,0,21.8,7,2.8,0.78
2026-06-10,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 07,0.02,2,0,0,10.0,0,0,0.0
2026-06-11,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Flexibilidade Cognitiva,32.68,5742,0,0,5.69,551,0.06,9.6
2026-06-11,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 01,33.89,2010,0,0,16.86,19,1.78,0.95
2026-06-11,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 02,4.76,169,0,0,28.17,1,4.76,0.59
2026-06-11,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,41.93,1689,0,0,24.83,20,2.1,1.18
2026-06-11,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,80.14,5840,0,0,13.72,46,1.74,0.79
2026-06-11,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,28.15,1785,0,0,15.77,10,2.81,0.56
2026-06-11,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,12.27,646,0,0,18.99,5,2.45,0.77
2026-06-11,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 02,0.92,12,0,0,76.67,0,0,0.0
2026-06-11,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03,0.21,7,0,0,30.0,0,0,0.0
2026-06-11,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03 — Cópia,3.85,236,0,0,16.31,1,3.85,0.42
2026-06-11,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 01,41.84,1671,0,0,25.04,29,1.44,1.74
2026-06-11,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,0.88,84,0,0,10.48,3,0.29,3.57
2026-06-11,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,43.44,2294,0,0,18.94,50,0.87,2.18
2026-06-11,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,21.47,728,0,0,29.49,3,7.16,0.41
